Area,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
El Salvador,0.1768203,0.1838733,0.1951161,0.200221,0.2031205,0.2113865,0.1923325,0.1935437,0.1959469,0.1911489,0.1662103,0.1601645,0.140965,0.1571147,0.1428164,0.1575414,0.1538819,0.1521374,0.1181133,0.1503617,0.1519657,0.1799047,0.1849699,0.1927569,0.2322523,0.2065692,0.2285323,0.2300728,0.2208443,0.2119872,0.2084378,0.2120592,0.2243378,0.2329144,0.2339459,0.2421179,0.2404099
Equatorial Guinea,0,0,0,0,0,0.1396641,0.1578204,0.1547028,0.1350385,0.1324829,0.1274903,0.1255489,0.1223476,0.1210472,0.1211013,0.1143405,0.0854088,0.0827199,0.0849435,0.0837695,0.0812343,0.0863599,0.097713,0.0966717,0.0937428,0.096549,0.0992007,0.0891961,0.0972252,0.0996906,0.0899358,0.0915167,0.109852,0.0740419,0.0760837,0.0815564,0.0847522
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954749,0.1021461,0.1019749,0.1092143,0.1031136,0.1025166,0.1031844,0.1021696,0.1023952,0.1117843,0.1081816,0.1052363,0.0904172,0.0943191,0.0904633,0.0890693,0.0885133,0.0888137,0.0880138,0.0875644,0.0878639,0.0878639
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0.2340984,0.2443466,0.2941251,0.3409633,0.3372827,0.374216,0.3652422,0.2628327,0.2697486,0.2637107,0.2877294,0.3356367,0.3593805,0.4119228,0.3986811,0.4325157,0.3838214,0.3672296,0.3587368,0.3410735,0.3426578,0.3315207,0.3234295,0.3249651,0.329207
Ethiopia,0.1394457,0.1478801,0.1477115,0.1431757,0.142612,0.1359424,0.1348458,0.1360523,0.1325934,0.1314969,0.1306095,0.1292064,0.1280341,0.1321907,0.1278693,0.138087,0.1210958,0.1344636,0.1150895,0.1188427,0.1170731,0.1135567,0.1141707,0.1218754,0.1236179,0.1252536,0.1253353,0.1283195,0.1247941,0.1183914,0.1281061,0.1372284,0.1343245,0.1466953,0.1456044,0.1439355,0.1432589
Fiji,0.1276999,0.1404775,0.1404811,0.1486804,0.1539777,0.1582784,0.1524991,0.1588932,0.1552597,0.1719513,0.1849422,0.1872706,0.1812229,0.1725798,0.161911,0.1916902,0.1791446,0.1731608,0.1744586,0.1437901,0.1701706,0.1661063,0.1813242,0.1761623,0.192841,0.1978681,0.2077,0.2027255,0.2067067,0.2169647,0.2140432,0.2071186,0.2096162,0.2166778,0.2223301,0.2252408,0.2312951
Finland,0.2528539,0.2567905,0.2711283,0.2726194,0.3197595,0.3190895,0.33465,0.36898,0.3778804,0.369469,0.3530095,0.350569,0.3420155,0.3701163,0.3828908,0.3890666,0.3520502,0.4638326,0.4800342,0.4958573,0.5865159,0.6371189,0.6232885,0.6153528,0.6569519,0.6633537,0.6862605,0.6919461,0.6279808,0.6010677,0.6814765,0.6993461,0.6803544,0.6902206,0.6804587,0.6814612,0.6626749
France,0.3520951,0.3483464,0.3765706,0.3630404,0.3575006,0.3921642,0.4196172,0.460976,0.4345497,0.4330058,0.460759,0.4595963,0.4508353,0.5053329,0.5186898,0.524373,0.5338957,0.5768479,0.6399991,0.6191999,0.6937733,0.711234,0.7225963,0.7009696,0.7255593,0.7128046,0.8248396,0.8179572,0.8054084,0.7584854,0.7804695,0.7948032,0.7572118,0.74693,0.7576569,0.7630205,0.7647089
French Territories: French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0.0918094,0.0822122,0.081196,0.0834168,0.0851452,0.0859346,0.0800916,0.0784058,0.0793352,0.0819416,0.0826489,0.0817148,0.0833321,0.0864929,0.0857438,0.0861977,0.0905114,0.0884103,0.0919407,0.0896747,0.0902188,0.089187,0.0914231,0.0917732,0.0917732
Gabon,0.1281683,0.1287458,0.1284077,0.1244347,0.1243094,0.1320403,0.1565258,0.1695596,0.1583338,0.1545628,0.12984,0.0840012,0.0860134,0.0906127,0.1084323,0.0957559,0.0822696,0.0892323,0.0902248,0.0872267,0.0938652,0.0957912,0.1009445,0.0897353,0.0932763,0.098046,0.0998755,0.0987588,0.0927512,0.093917,0.1088906,0.0902283,0.1107868,0.1168127,0.1230298,0.130322,0.131012
