Area,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Sri Lanka,90.4,198.4,75.1,92.1,72.8,66.2,77.2,126.4,143.327,137.4,120.8,177.8,203.2,197.5,278.7,211.3,154.6,190.1,167.5,208.6,183.2,171.9,154.6,163.8,197.5,236.7,227,283.3,229.5,178,303.547816,223.950414,311.911749,350.340359,372.123531,407.105982,336.25559,372.15835
Thailand,1170.3,914.8,1063.1,1112.6,849.1,935.9,1544.1,1891.8,2292.137,2991.5,3757.6,3982.4,3768.5,4861,6401.8,7211.4,7357.2,5233.3,4969.1,6537.8,5995.2,4859.6,5841.8,6363,7233.1,8152.4,8444.9,9066.8,6920.7,8974.4,10929.87303,10887.80259,11797.15211,11809.76636,11246.97112,10572.766,10837.11473,12588.29086
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,0.1,0.5,9.8,8.6,11.5,10.8,5,2.1,4.4,8.146198,1.143436,1.365128,1.286987,2.690584,1.621227,,
Tonga,,,,,,,,3.8,6.169,6.2,5,5.9,5.4,5.9,7.5,6.2,7.3,11.8,6.5,7.7,4.8,11.2,5.7,7,9.8,10.4,13.2,13.7,13,20.6,19.269574,26.892624,19.238838,20.03182,13.802348,15.155035,16.611208,24.125609
Tuvalu,,,,,,,,,,,,2.2,1.5,0.1,0.3,,,,,,,,,0.4,,,,0.1,0.1,0.5,0.724161,0.612146,0.56026,0.5919,0.625636,1.136343,0.866674,1.359004
Vanuatu,,,,,,,,1.7,0.529,5.9,1.1,1.3,1.1,1,1.1,0.7,0.5,40.4,8,1.4,0.8,0.6,1.4,9.3,9.1,9.1,23.9,63.9,3.9,18.8,5.152275,99.515739,34.439495,21.185729,5.867876,7.849171,7.895169,10.308509
Vietnam,10.3,32.1,20.7,22.1,20.2,30,23.3,15.4,10.516,7.3,3.6,4.5,6.9,172.1,252.9,616.2,277.8,274.1,294.8,347.1,460.9,580.3,1324.4,1163.4,1191.7,1100.2,1902.7,2789.9,3107.6,3710.2,4315.22042,4622.882579,5036.284885,5734.356953,7071.698514,10151.31528,8163.514967,9683.740424
Asia n.s.,351,356.1,272.2,364.1,381,322.3,232,78.6,126.031,,207.9,158.2,148.8,153,214.3,207.8,225.6,173.2,88.9,233,96.2,102.8,94,106.5,210.1,108.4,128.1,149.8,167.7,150.2,205.550631,224.144873,140.528631,160.986388,137.213105,349.491612,21.562398,27.801092
Europe,5533,4796.2,4135,5735.6,5043.8,3661.2,4359.8,5935.7,7761.877,7055.1,7608.3,8327,9250.6,7767.87,8371.2,9647.1,10588,10232.7,8361.1,9088.1,9197.1,8932.7,9153.3,11439.3,13792.6,17365.8,23728.5,34891.6,21759.7,27286.2,37368.10947,39473.46408,39081.71665,37195.371,28283.50004,27700.6246,30028.03723,32349.86075
Emerging & Dev. Europe,3101.4,2203.6,2132.1,2451.6,2621,2413.6,2880.1,3152.3,3439.09,3967.5,4014.2,4770.6,5399.5,4374.37,4524.7,4837.4,5890.8,5584.1,5125.1,5753.3,5352.3,5084.2,5451.1,6593.7,7914.9,10275,13072.6,21053,13550.6,18113.7,24416.5682,24141.23591,22865.92585,21658.46423,18618.65817,18232.2634,19314.5623,21140.5594
